Y	X1	X2
0.054	0.13	15.5
0.154	0.215	15.5
0.073	0.25	15.5
0.182	0.267	15.5
0.241	0.389	15.5
0.316	0.49	15.5
0.29	0.491	15.5
0.061	0.004	20
0.143	0.164	20
0.188	0.225	20
0.176	0.314	20
0.248	0.447	20
0.357	0.477	20
0.403	0.505	20
0.342	0.537	20
0.335	0	25
0.408	0.176	25
0.366	0.199	25
0.482	0.292	25
0.545	0.38	25
0.596	0.483	25
0.59	0.491	25
0.631	0.491	25
0.61	0.519	25
0.482	0.053	30
0.477	0.114	30
0.551	0.137	30
0.516	0.19	30
0.561	0.21	30
0.588	0.23	30
0.561	0.24	30
0.58	0.26	30
0.674	0.389	30
0.718	0.47	30
0.754	0.521	30
0.8	0.544	30
0.654	0	35
0.744	0.033	35
0.711	0.049	35
0.855	0.14	35
0.932	0.204	35
0.927	0.21	35
0.914	0.215	35
0.914	0.265	35
0.973	0.346	35
1	0.462	35
0.998	0.468	35
